"date","id","title","rubric","subrubric","publikations_status","primaryTenantCode","kanton"
2023-07-03,"b6b53e4b-da25-4c38-a639-0af437ed8a21","Löschung Swissbroke AG Chur, Chur","HR","HR03","PUBLISHED","shab","GR"
2023-07-03,"0e8c9ba7-47b3-4e43-b150-6c90f1dbf671","Löschung Panalpina Global Employment Services AG, Basel","HR","HR03","PUBLISHED","shab","BS"
2023-07-03,"1ea38fe8-787f-4f98-93d6-993e2d7ca70b","Löschung OPC - Oliver Pätzold Consulting Switzerland, Beckenried","HR","HR03","PUBLISHED","shab","NW"
2023-07-03,"464615dd-8fa9-478b-bab6-f7675cc5f986","Neueintragung Tom's Tanke GmbH, Signau","HR","HR01","PUBLISHED","shab","BE"
2023-07-03,"671452b8-7797-4f3d-a7a4-d1c162988792","Löschung Société Immobilière Rue Zurlinden 3 SA, Genève","HR","HR03","PUBLISHED","shab","GE"
2023-07-03,"721bb389-a586-421f-bf0d-0eb4c1317cb5","Löschung SOTHEBY'S DIAMONDS SA, Genève","HR","HR03","PUBLISHED","shab","GE"
2023-07-03,"84fa1c28-3218-495d-9a9a-8255dce29230","Löschung Aqueous Group AG, Freienbach","HR","HR03","PUBLISHED","shab","SZ"
2023-07-03,"d822a4c1-7248-4464-a73e-271058174333","Löschung Honeywell Distribution Switzerland Sàrl, Rolle","HR","HR03","PUBLISHED","shab","VD"
2023-07-03,"317b405c-2020-4771-917d-2565cb50077b","Löschung Hélder Martins da Silva, Massongex","HR","HR03","PUBLISHED","shab","VS"
2023-07-03,"59636592-ebca-4f95-9083-3e29e96c12a5","Löschung Camping Yverdon Plage, Montaldo Marguerite, Yverdon-les-Bains","HR","HR03","PUBLISHED","shab","VD"
